Austin,Dallas Northeast,Dallas Northwest,Dallas Southeast,Dallas Southwest,East Valley - AZ,Houston Northeast,Houston Northwest,Houston Southeast,Houston Southwest,Phoenix,San Antonio,Tucson,Utah North,Utah South
76716,,76258,75231,76112,85298,77265,78935,77586,77545,85304,78215,,84321,84602
76797,,76259,75232,76113,85299,77266,78944,77587,77566,85305,78216,,84322,84603
76798,,76262,75237,76114,,77267,78950,77588,77577,85306,78217,,84323,84604
76799,,76263,75238,76115,,77268,,77590,77583,85307,78218,,84324,84605
76831,,76266,75240,76116,,77269,,77591,,85308,78219,,84325,84606
77837,,76267,75241,76117,,77270,,77592,,85309,78220,,84326,84620
78602,,,75242,76119,,77271,,77597,,85310,78221,,84327,84623
78605,,,75243,76120,,77272,,77598,,85311,78222,,84328,84624
78606,,,75246,76121,,77273,,77611,,85312,78223,,84330,84626
78607,,,75250,76122,,77274,,77614,,85318,78224,,84332,84627
78608,,,75251,76123,,77275,,77619,,85323,78225,,84333,84629
78610,,,75253,76124,,77277,,77622,,85324,78226,,84334,84631
78611,,,75254,76126,,77279,,77626,,85326,78227,,84335,84632
78612,,,75260,76127,,77280,,77627,,85327,78228,,84337,84633
78613,,,75261,76129,,77282,,77630,,85329,78229,,84338,84634
78615,,,75262,76130,,77284,,77631,,85331,78230,,84339,84642
78616,,,75263,76132,,77287,,77632,,85335,78231,,84340,84643
78617,,,75264,76133,,77288,,77639,,85338,78232,,84341,84645
78619,,,75265,76134,,77289,,77640,,85339,78233,,84401,84646
78620,,,75266,76135,,77290,,77641,,85340,78234,,84402,84647
78621,,,75267,76136,,77291,,77642,,85342,78235,,84403,84648
78626,,,75270,76140,,77293,,77643,,85345,78236,,84404,84651
78627,,,75275,76147,,77299,,77650,,85351,78237,,84405,84653
78628,,,75277,76150,,77301,,77651,,85353,78238,,84407,84654
78630,,,75283,76161,,77302,,77661,,85354,78239,,84408,84655
78633,,,75284,76162,,77303,,77662,,85355,78240,,84409,84660
78634,,,75285,76163,,77305,,77665,,85358,78241,,84412,84662
78635,,,75301,76164,,77306,,77670,,85361,78242,,84414,84663
78636,,,75303,76166,,77315,,77701,,85372,78243,,84415,84664
78639,,,75312,76181,,77325,,77702,,85373,78244,,,84665
78640,,,75313,76185,,77326,,77703,,85374,78245,,,84701
78641,,,75315,76190,,77327,,77704,,85375,78246,,,84730
78642,,,75320,76191,,77328,,77705,,85376,78247,,,84749
78643,,,75326,76192,,77331,,77706,,85377,78248,,,
78644,,,75336,76193,,77332,,77707,,85378,78249,,,
78645,,,75339,76195,,77335,,77708,,85379,78250,,,
78646,,,75342,76196,,77336,,77710,,85380,78251,,,
78651,,,75354,76197,,77338,,77713,,85381,78252,,,
78652,,,75355,76198,,77339,,77720,,85382,78253,,,
78653,,,75356,76199,,77340,,77725,,85383,78254,,,
78654,,,75357,76439,,77341,,77726,,85385,78255,,,
78655,,,75358,76462,,77343,,,,85387,78256,,,
78656,,,75359,76476,,77344,,,,85388,78257,,,
78657,,,75360,76485,,77345,,,,85390,78258,,,
78660,,,75367,76487,,77346,,,,85392,78259,,,
78662,,,75368,76627,,77347,,,,85395,78260,,,
78663,,,75370,76636,,77348,,,,85396,78261,,,
78664,,,75371,76645,,77349,,,,86301,78263,,,
78665,,,75372,76651,,77351,,,,86314,78264,,,
78667,,,75373,76670,,77357,,,,86333,78265,,,
78669,,,75374,,,77358,,,,,78268,,,
78670,,,75376,,,77359,,,,,78269,,,
78671,,,75378,,,77365,,,,,78270,,,
78673,,,75379,,,77368,,,,,78278,,,
78674,,,75380,,,77369,,,,,78279,,,
78676,,,75381,,,77371,,,,,78280,,,
78680,,,75382,,,77372,,,,,78283,,,
78681,,,75389,,,77373,,,,,78284,,,
78682,,,75390,,,77374,,,,,78285,,,
78683,,,75391,,,77376,,,,,78288,,,
78691,,,75392,,,77378,,,,,78289,,,
78701,,,75393,,,77379,,,,,78291,,,
78702,,,75394,,,77380,,,,,78292,,,
78703,,,75395,,,77381,,,,,78293,,,
78704,,,75397,,,77382,,,,,78294,,,
78705,,,75398,,,77383,,,,,78295,,,
78708,,,75474,,,77384,,,,,78296,,,
78709,,,,,,77385,,,,,78297,,,
78710,,,,,,77386,,,,,78298,,,
78711,,,,,,77387,,,,,78299,,,
78712,,,,,,77388,,,,,78347,,,
78713,,,,,,77389,,,,,78401,,,
78714,,,,,,77391,,,,,78402,,,
78715,,,,,,77393,,,,,78403,,,
78716,,,,,,77396,,,,,78404,,,
78717,,,,,,77399,,,,,78405,,,
78718,,,,,,77402,,,,,78406,,,
78719,,,,,,77519,,,,,78407,,,
78720,,,,,,77532,,,,,78408,,,
78721,,,,,,77533,,,,,78409,,,
78722,,,,,,77535,,,,,78410,,,
78723,,,,,,77538,,,,,78411,,,
78724,,,,,,77561,,,,,78412,,,
78725,,,,,,77564,,,,,78413,,,
78726,,,,,,77575,,,,,78414,,,
78727,,,,,,77582,,,,,78415,,,
78728,,,,,,77585,,,,,78416,,,
78729,,,,,,77625,,,,,78417,,,
78730,,,,,,77629,,,,,78418,,,
78731,,,,,,77657,,,,,78419,,,
78732,,,,,,77659,,,,,78426,,,
78733,,,,,,,,,,,78427,,,
78734,,,,,,,,,,,78460,,,
78735,,,,,,,,,,,78463,,,
78736,,,,,,,,,,,78465,,,
78737,,,,,,,,,,,78466,,,
78738,,,,,,,,,,,78467,,,
78739,,,,,,,,,,,78468,,,
78741,,,,,,,,,,,78469,,,
78742,,,,,,,,,,,78480,,,
78744,,,,,,,,,,,78604,,,
78745,,,,,,,,,,,78614,,,
78746,,,,,,,,,,,78629,,,
78747,,,,,,,,,,,78638,,,
78748,,,,,,,,,,,78658,,,
78749,,,,,,,,,,,78661,,,
78750,,,,,,,,,,,78666,,,
78751,,,,,,,,,,,78861,,,
78752,,,,,,,,,,,,,,
78753,,,,,,,,,,,,,,
78754,,,,,,,,,,,,,,
78755,,,,,,,,,,,,,,
78756,,,,,,,,,,,,,,
78757,,,,,,,,,,,,,,
78758,,,,,,,,,,,,,,
78759,,,,,,,,,,,,,,
78760,,,,,,,,,,,,,,
78761,,,,,,,,,,,,,,
78762,,,,,,,,,,,,,,
78763,,,,,,,,,,,,,,
78764,,,,,,,,,,,,,,
78765,,,,,,,,,,,,,,
78766,,,,,,,,,,,,,,
78767,,,,,,,,,,,,,,
78768,,,,,,,,,,,,,,
78769,,,,,,,,,,,,,,
78772,,,,,,,,,,,,,,
78773,,,,,,,,,,,,,,
78774,,,,,,,,,,,,,,
78778,,,,,,,,,,,,,,
78779,,,,,,,,,,,,,,
78783,,,,,,,,,,,,,,
78799,,,,,,,,,,,,,,
